iter	Passed	Remaining
0	1	701
1	1	435
2	2	367
3	2	327
4	2	283
5	2	243
6	3	238
7	3	232
8	4	226
9	4	209
10	4	203
11	4	197
12	5	193
13	5	189
14	5	186
15	6	182
16	6	180
17	6	177
18	6	174
19	7	172
20	7	170
21	7	168
22	8	167
23	8	169
24	8	170
25	9	171
26	9	173
27	10	171
28	10	170
29	10	168
30	11	167
31	12	175
32	12	174
33	12	172
34	12	171
35	13	169
36	13	168
37	13	167
38	14	165
39	14	164
40	14	163
41	14	162
42	15	161
43	15	161
44	15	161
45	16	161
46	16	161
47	17	161
48	17	160
49	17	159
50	18	158
51	18	157
52	18	156
53	18	156
54	19	156
55	19	156
56	19	155
57	20	154
58	20	153
59	20	152
60	21	152
61	21	151
62	21	150
63	22	149
64	22	149
65	22	148
66	22	147
67	23	147
68	23	146
69	23	147
70	24	147
71	24	147
72	25	147
73	25	147
74	25	146
75	26	145
76	26	145
77	26	144
78	26	143
79	27	143
80	28	146
81	28	145
82	28	145
83	29	144
84	29	143
85	29	143
86	30	142
87	30	141
88	30	141
89	30	140
90	31	140
91	31	139
92	31	139
93	32	138
94	32	138
95	32	138
96	33	138
97	33	137
98	33	137
99	34	136
100	34	136
101	35	136
102	35	136
103	35	136
104	36	135
105	36	135
106	36	134
107	36	134
108	37	133
109	37	133
110	37	132
111	38	132
112	38	131
113	38	131
114	39	131
115	39	131
116	39	130
117	40	130
118	40	129
119	40	129
120	41	128
121	41	128
122	41	127
123	41	127
124	42	126
125	42	126
126	42	125
127	43	125
128	43	124
129	43	124
130	43	123
131	44	123
132	44	122
133	44	122
134	45	121
135	45	121
136	45	120
137	45	120
138	46	119
139	46	119
140	47	119
141	47	119
142	47	118
143	48	118
144	48	118
145	48	118
146	49	118
147	49	117
148	49	117
149	50	117
150	50	116
151	50	116
152	51	116
153	51	115
154	51	115
155	52	114
156	52	114
157	52	113
158	52	113
159	53	112
160	53	112
161	53	112
162	54	111
163	54	111
164	54	110
165	54	110
166	55	109
167	55	109
168	55	109
169	56	108
170	56	108
171	56	107
172	56	107
173	57	107
174	57	106
175	57	106
176	58	105
177	58	105
178	58	105
179	58	104
180	59	104
181	59	103
182	59	103
183	60	103
184	60	102
185	60	102
186	60	101
187	61	101
188	61	101
189	61	101
190	62	100
191	62	100
192	62	99
193	63	99
194	63	99
195	63	98
196	63	98
197	64	97
198	64	97
199	64	97
200	65	96
201	65	96
202	65	96
203	66	95
204	66	95
205	66	95
206	66	94
207	67	94
208	67	93
209	67	93
210	68	93
211	68	92
212	68	92
213	68	92
214	69	91
215	69	91
216	69	91
217	70	90
218	70	90
219	70	89
220	70	89
221	71	89
222	71	88
223	71	88
224	72	88
225	72	87
226	72	87
227	73	87
228	73	86
229	73	86
230	73	86
231	74	85
232	74	85
233	74	84
234	75	84
235	75	84
236	75	83
237	75	83
238	76	83
239	76	82
240	76	82
241	77	82
242	77	82
243	77	81
244	78	81
245	78	80
246	78	80
247	78	80
248	79	79
249	79	79
250	79	79
251	80	78
252	80	78
253	80	78
254	80	77
255	81	77
256	81	77
257	81	76
258	82	76
259	82	76
260	82	75
261	83	75
262	83	75
263	83	74
264	83	74
265	84	74
266	84	73
267	84	73
268	85	73
269	85	72
270	85	72
271	85	71
272	86	71
273	86	71
274	86	71
275	87	70
276	87	70
277	87	69
278	87	69
279	88	69
280	88	68
281	88	68
282	89	68
283	89	67
284	89	67
285	89	67
286	90	66
287	90	66
288	90	66
289	91	65
290	91	65
291	91	65
292	91	64
293	92	64
294	92	64
295	92	64
296	93	63
297	93	63
298	93	63
299	94	62
300	94	62
301	94	62
302	94	61
303	95	61
304	95	61
305	95	60
306	96	60
307	96	60
308	96	59
309	96	59
310	97	59
311	97	58
312	97	58
313	98	58
314	98	57
315	98	57
316	98	57
317	99	56
318	99	56
319	99	56
320	100	55
321	100	55
322	100	55
323	101	54
324	101	54
325	101	54
326	101	53
327	102	53
328	102	53
329	102	52
330	103	52
331	103	52
332	103	51
333	103	51
334	104	51
335	104	51
336	104	50
337	105	50
338	105	50
339	105	49
340	106	49
341	106	49
342	106	48
343	107	48
344	107	48
345	107	47
346	108	47
347	108	47
348	108	47
349	108	46
350	109	46
351	109	46
352	109	45
353	110	45
354	110	45
355	110	44
356	110	44
357	111	44
358	111	43
359	111	43
360	112	43
361	112	42
362	112	42
363	112	42
364	113	41
365	113	41
366	113	41
367	114	40
368	114	40
369	114	40
370	114	39
371	115	39
372	115	39
373	115	39
374	116	38
375	116	38
376	116	38
377	117	37
378	117	37
379	117	37
380	117	36
381	118	36
382	118	36
383	118	35
384	119	35
385	119	35
386	119	34
387	119	34
388	120	34
389	120	33
390	120	33
391	121	33
392	121	33
393	121	32
394	121	32
395	122	32
396	122	31
397	122	31
398	123	31
399	123	30
400	124	30
401	124	30
402	124	30
403	125	29
404	125	29
405	125	29
406	125	28
407	126	28
408	126	28
409	126	27
410	127	27
411	127	27
412	127	26
413	127	26
414	128	26
415	128	25
416	128	25
417	129	25
418	129	25
419	129	24
420	129	24
421	130	24
422	130	23
423	130	23
424	131	23
425	131	22
426	131	22
427	131	22
428	132	21
429	132	21
430	132	21
431	133	20
432	133	20
433	133	20
434	133	20
435	134	19
436	134	19
437	134	19
438	135	18
439	135	18
440	135	18
441	135	17
442	136	17
443	136	17
444	136	16
445	136	16
446	137	16
447	137	15
448	137	15
449	138	15
450	138	15
451	138	14
452	139	14
453	139	14
454	140	13
455	140	13
456	140	13
457	141	12
458	141	12
459	141	12
460	142	12
461	142	11
462	142	11
463	143	11
464	143	10
465	143	10
466	143	10
467	144	9
468	144	9
469	144	9
470	145	8
471	145	8
472	145	8
473	145	8
474	146	7
475	146	7
476	146	7
477	147	6
478	147	6
479	147	6
480	147	5
481	148	5
